GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bedomain,com.bedomain.controller,EntityInstanceController,0,43,0,0,0,8,0,6,0,6
bedomain,com.bedomain.controller,EntityTypeController,0,42,0,0,0,8,0,6,0,6
bedomain,com.bedomain.controller,PropertySpecController,0,39,0,0,0,7,0,5,0,5
bedomain,com.bedomain.service,EntityTypeService,14,194,3,7,0,41,5,11,2,9
bedomain,com.bedomain.service,EntityInstanceService,7,181,1,3,0,40,2,11,1,10
bedomain,com.bedomain.service,PropertySpecService,14,249,6,16,2,48,6,14,0,9
bedomain,com.bedomain.domain.enums,DataType,0,33,0,0,0,6,0,1,0,1
bedomain,com.bedomain.domain.dto.entitytype,CreateEntityTypeRequest,98,17,22,0,0,3,15,5,4,5
bedomain,com.bedomain.domain.dto.entitytype,UpdateEntityTypeRequest,100,17,22,0,0,3,15,5,4,5
bedomain,com.bedomain.domain.dto.entitytype,EntityTypeResponse.EntityTypeResponseBuilder,27,58,0,0,0,1,2,9,2,9
bedomain,com.bedomain.domain.dto.entitytype,EntityTypeResponse,350,37,70,0,7,3,53,4,18,4
bedomain,com.bedomain.exception,GlobalExceptionHandler.ValidationErrorResponse.ValidationErrorResponseBuilder,47,0,0,0,1,0,7,0,7,0
bedomain,com.bedomain.exception,GlobalExceptionHandler.ValidationErrorResponse,47,0,0,0,6,0,10,0,10,0
bedomain,com.bedomain.exception,GlobalExceptionHandler.ErrorResponse,37,0,0,0,5,0,8,0,8,0
bedomain,com.bedomain.exception,GlobalExceptionHandler,82,0,0,0,32,0,6,0,6,0
bedomain,com.bedomain.exception,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
bedomain,com.bedomain.exception,GlobalExceptionHandler.ErrorResponse.ErrorResponseBuilder,37,0,0,0,1,0,6,0,6,0
bedomain,com.bedomain.config,JpaAuditingConfig,7,0,0,0,2,0,2,0,2,0
bedomain,com.bedomain.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
bedomain,com.bedomain.config,CachingConfig,26,0,0,0,10,0,2,0,2,0
bedomain,com.bedomain.config,RedisConfig,69,0,0,0,26,0,3,0,3,0
bedomain,com.bedomain.config,SecurityConfig,82,0,0,0,18,0,8,0,8,0
bedomain,com.bedomain.domain.dto.entityinstance,UpdateEntityInstanceRequest.UpdateEntityInstanceRequestBuilder,19,0,0,0,1,0,4,0,4,0
bedomain,com.bedomain.domain.dto.entityinstance,EntityInstanceResponse.EntityInstanceResponseBuilder,23,63,0,0,0,1,1,10,1,10
bedomain,com.bedomain.domain.dto.entityinstance,UpdateEntityInstanceRequest,10,10,0,0,2,3,2,3,2,3
bedomain,com.bedomain.domain.dto.entityinstance,EntityInstanceResponse,50,40,0,0,7,5,14,5,14,5
bedomain,com.bedomain.domain.dto.entityinstance,CreateEntityInstanceRequest,13,17,0,0,2,4,2,5,2,5
bedomain,com.bedomain.domain.dto.entityinstance,CreateEntityInstanceRequest.CreateEntityInstanceRequestBuilder,29,0,0,0,1,0,5,0,5,0
bedomain,com.bedomain.domain.entity,Property.PropertyBuilder,35,60,0,0,0,1,3,9,3,9
bedomain,com.bedomain.domain.entity,EntityInstance,33,73,0,0,6,11,7,15,7,15
bedomain,com.bedomain.domain.entity,Property,42,69,0,0,10,8,11,12,11,12
bedomain,com.bedomain.domain.entity,EntityType,61,80,0,0,13,11,11,16,11,16
bedomain,com.bedomain.domain.entity,EntityInstance.EntityInstanceBuilder,23,73,0,2,0,1,1,11,1,10
bedomain,com.bedomain.domain.entity,EntityType.EntityTypeBuilder,32,82,1,3,0,1,3,11,2,10
bedomain,com.bedomain.security,JwtAuthenticationService,67,0,4,0,15,0,13,0,11,0
bedomain,com.bedomain.security,AuditUserProvider,75,0,20,0,18,0,13,0,3,0
bedomain,com.bedomain,BedomainApplication,8,0,0,0,3,0,2,0,2,0
bedomain,com.bedomain.domain.dto.property,UpdatePropertyRequest,134,24,30,0,0,4,19,7,4,7
bedomain,com.bedomain.domain.dto.property,PropertyResponse.PropertyResponseBuilder,12,35,0,0,0,1,1,6,1,6
bedomain,com.bedomain.domain.dto.property,PropertyResponse,188,25,38,0,3,3,29,4,10,4
bedomain,com.bedomain.domain.dto.property,CreatePropertyRequest,132,24,30,0,0,4,19,7,4,7
